PM_PROPERTY_ID,PROPERTY_NAME,ADDRESS_OF_RECORD,POSTAL_CODE,LATITUDE,LONGITUDE
3412596,<10K East Potomac Pool,1100 OHIO DR SW,20242,38.87648701,-77.03364062
4807168,P/S Lot 61 Associates LLC,0415  L ST NW,20001,38.90421203,-77.01649871
3876584,DPW Vehicle Maintenance Facility 2A,1242  MOUNT OLIVET RD NE,20002,38.91100481,-76.98345596
3412227,Engine Company #13,450 6TH STREET SW,20024,38.883607,-77.019393
4044593,The Palisade Apartments,4540 MACARTHUR BLVD,20007,38.90868802,-77.08677503
3984355,Franklin Commons,0101 - 0125 FRANKLIN ST NE,20002,38.92570945,-77.00525022
3412516,! Family Shelter 37th St SE,342 37TH STREET SE,20019,38.88443239,-76.95167176
3999374,Northeast Transfer Station,2160 QUEENS CHAPEL RD NE,20018,38.92026525,-76.97378567
3412516,! Family Shelter 37th St SE,342 37TH STREET SE,20019,38.88443239,-76.95167176
3412554,! United Planning Org @ Frederick Douglass,3240 STANTON ROAD SE,20020,38.84927537,-76.9806473
3412516,! Family Shelter 37th St SE,342 37TH STREET SE,20019,38.88443239,-76.95167176
4005427,Connecticut Plaza,2915 CONNECTICUT AV NW,20008,38.92867202,-77.05396394
4007122,"1329-1337 Ft. Stevens Drive, NW",1329 - 1337 FORT STEVENS DR NW,20011,38.96492967,-77.03145664
3365840,Hyde-Addison Elementary School,3246 P ST NW,20007,38.90802702,-77.06454013
3505747,Atlantic Terrace Ltd.,4301 3RD ST,20032,38.82811675,-77.00260796
3679816,McCollough Paradise Gardens Apartments,1107 7TH ST NW,20001,38.90548482,-77.02065954
3412476,Engine Company #25,3203 MARTIN LUTHER KING JR AV SE,20032,38.84316411,-77.00078234
3995408,Elevation 314,314 CARROLL ST NW,20012,38.97489174,-77.01677983
3412484,<10K Engine Company 31,3601 EVERETT ST NW,20008,38.9541806,-77.06995536
3984618,Connecticut Plaza,2901 CONNECTICUT AV NW,20008,38.92834192,-77.05375059
4376458,McCollough Terrace Apartments,1210 - 1220 7TH ST NW,20001,38.90710266,-77.02213053
3412516,Family Shelter 37th St SE,342 37TH STREET SE,20019,38.88443239,-76.95167176
3982215,301 N Street LTD Partnership,0301 N ST NE,20002,38.90683124,-77.00160931
3412541,First District Substation,500 E ST SE,20003,38.88337543,-76.99924298
3412476,<10K Engine Company 25,3203 MARTIN LUTHER KING JR AV SE,20032,38.84316411,-77.00078234
3412484,<10K Engine Company 31,3601 EVERETT ST NW,20008,38.9541806,-77.06995536
3412476,<10K Engine Company 25,3203 MARTIN LUTHER KING JR AV SE,20032,38.84316411,-77.00078234
4178752,Columbia Road,1475 COLUMBIA ROAD NW,20009,38.927594,-77.03509
4006488,Parkway Plaza - 1,1810 - 1826 24TH ST NE,20002,38.91481845,-76.9732153
5047406,Capital East Apartment,816 E ST NE,20002,38.8964305,-76.99412723
3412573,Engine Company #8,1520 C ST SE,20003,38.88554764,-76.98294585
3412484,<10K Engine Company 31,3601 EVERETT ST NW,20008,38.9541806,-77.06995536
3639787,D,3031 - 3041 SEDGEWICK ST NW,20008,38.94009819,-77.06223315
3365840,#NAME?,3246 P ST NW,20007,38.90802702,-77.06454013
3412476,Engine Company #25,3203 MARTIN LUTHER KING JR AV SE,20032,38.84316411,-77.00078234
3412552,Engine Company 10,1300 FLORIDA AV NE,20002,38.9015951,-76.98669648
4020144,McCollough Canaanland Apartments,1202 - 1216 6TH ST NW,20001,38.9070192,-77.02016232
3412484,<10K Engine Company 31,3601 EVERETT ST NW,20008,38.9541806,-77.06995536
5047406,Capital East Apartment,816 E ST NE,20002,38.8964305,-76.99412723
3412666,! Fifth District Station,1805 BLADENSBURG RD NE,20002,38.91508505,-76.97364233
